peperoni freschi,bell_pepper, peperone rosso, peperone giallo, peperone fresco, peperone sfuso
pollo busto,chicken, busto di pollo
petto di pollo,chicken_breast, petto di pollo, filetto di petto di pollo, filetto di petto di pollo supermercato
filetto di pollo,chicken_breast, vaschetta di petto di pollo coop
aglio,garlic,aglio secco, aglio sfuso, aglio, garlic
patate novelle,potato, patata, patata gialla, patata sfusa
salmone norvegese filetto,salmon, salmone norvegese, taglio di salmone pescheria
filetto di salmone,salmon, filetto di salmone, filetto di salmone supermercato
burro,butter, burro coop, butter, burro supermercato
latte,milk, latte supermercato bottiglia
asparagi verdi,asparagus, asparago, asparago verde, asparago bianco
meloni,melon, melone, melone bianco, melone arancione, melone sfuso
anguria,watermelon, anguria sfusa, anguria intera, anguria supermercato
capperi,capers, capperi sotto aceto, capperi verdi
spinaci,spinach, spinaci, foglie di spinaci supermercato, spinaci verdi sfusi supermercato
broccoli,broccoli, broccolo, broccolo supermercato
cetrioli,cucumber, cetriolo, cetriolo supermercato
yoghurt,yoghurt, yoghurt greco, yoghurt supermercato, yoghurt fresco, yoghurt biologico
pane,bread, pane, pane in cassette, pane sfuso
pasta,pasta, fusilli supermercato, pennette supermercato, spaghetti supermercato, fusilli, pennette, spaghetti
pecorino,pecorino_cheese, forma pecorino, pecorino sardo, pecorino sardo supermercato, pecorino romano supermercato, pecorino romano
guanciale,guanciale, guanciale salumeria, guanciale intero, guanciale coop
pepe nero,black_pepper, pepe nero, pepe nero macinato
mozzarella,mozzarella_cheese, mozzarella supermercato, mozzarella sfusa
sedano,celery, sedano sfuso, sedano, sedano supermercato,sedano fresco
cavolfiore,cauliflower, cavolfiore, cavolfiore fresco, cavolfiore sfuso
pomodoro,tomato, pomodoro fresco, pomodoro
quinoa bio,quinoa, quinoa semi
kiwi,kiwi, kiwi frutto, kiwi frutto supermercato
noci,nuts, noci, noci in busta, noci supermercato
arachidi,peanuts, arachidi, arachidi in busta, arachidi supermercato
cioccolata fondente,chocolate, cioccolata fondente scatola supermercato, cioccolata supermercato
